
============================================================
Simulated Annealing Optimization
============================================================
Initial HPWL: 426853.12 um
Initial Temperature: 42685312.00
Cooling Rate (alpha): 0.996
Moves per Temperature: 6000
Final Temperature: 0.00012
Initial Window Size: 501.80 um
Window Cooling Rate (beta): 0.98
Move Probabilities: Refine=70.0%, Explore=30.0%
============================================================

  → Found improvement! New best HPWL: 426836.18 um (improvement: -16.94 um)
T=42685312.00 | W=501.8um | Current HPWL=1154952.17 um | Best HPWL=426836.18 um | Accept Rate=100.0% | Improvements: 783/6000 (13.1%) | Refine: 4153/4153 (100.0%) | Explore: 1847/1847 (100.0%)
T=39397188.34 | W=335.0um | Current HPWL=1952545.36 um | Best HPWL=426836.18 um | Accept Rate=100.0% | Improvements: 1417/6000 (23.6%) | Refine: 88053/88053 (100.0%) | Explore: 37947/37947 (100.0%)
T=36362354.55 | W=223.7um | Current HPWL=2006200.78 um | Best HPWL=426836.18 um | Accept Rate=100.0% | Improvements: 1389/6000 (23.2%) | Refine: 172065/172065 (100.0%) | Explore: 73935/73935 (100.0%)
T=33561299.28 | W=149.3um | Current HPWL=2030163.50 um | Best HPWL=426836.18 um | Accept Rate=100.0% | Improvements: 1384/6000 (23.1%) | Refine: 256173/256173 (100.0%) | Explore: 109827/109827 (100.0%)
T=30976014.15 | W=100.4um | Current HPWL=2073570.62 um | Best HPWL=426836.18 um | Accept Rate=100.0% | Improvements: 1416/6000 (23.6%) | Refine: 340128/340128 (100.0%) | Explore: 145872/145872 (100.0%)
T=28589878.03 | W=100.4um | Current HPWL=2049230.74 um | Best HPWL=426836.18 um | Accept Rate=100.0% | Improvements: 1414/6000 (23.6%) | Refine: 423860/423860 (100.0%) | Explore: 182140/182140 (100.0%)
T=26387550.11 | W=100.4um | Current HPWL=2048947.81 um | Best HPWL=426836.18 um | Accept Rate=100.0% | Improvements: 1422/6000 (23.7%) | Refine: 507952/507952 (100.0%) | Explore: 218048/218048 (100.0%)
T=24354871.33 | W=100.4um | Current HPWL=2075883.58 um | Best HPWL=426836.18 um | Accept Rate=100.0% | Improvements: 1422/6000 (23.7%) | Refine: 591764/591765 (100.0%) | Explore: 254235/254235 (100.0%)
T=22478773.33 | W=100.4um | Current HPWL=2071965.75 um | Best HPWL=426836.18 um | Accept Rate=100.0% | Improvements: 1401/6000 (23.4%) | Refine: 676023/676024 (100.0%) | Explore: 289976/289976 (100.0%)
T=20747194.41 | W=100.4um | Current HPWL=2101182.08 um | Best HPWL=426836.18 um | Accept Rate=100.0% | Improvements: 1405/6000 (23.4%) | Refine: 759825/759826 (100.0%) | Explore: 326174/326174 (100.0%)
T=19149002.02 | W=100.4um | Current HPWL=2080691.60 um | Best HPWL=426836.18 um | Accept Rate=100.0% | Improvements: 1434/6000 (23.9%) | Refine: 843884/843885 (100.0%) | Explore: 362115/362115 (100.0%)
T=17673921.16 | W=100.4um | Current HPWL=2082542.60 um | Best HPWL=426836.18 um | Accept Rate=100.0% | Improvements: 1399/6000 (23.3%) | Refine: 927838/927839 (100.0%) | Explore: 398161/398161 (100.0%)
T=16312468.34 | W=100.4um | Current HPWL=2071557.93 um | Best HPWL=426836.18 um | Accept Rate=100.0% | Improvements: 1439/6000 (24.0%) | Refine: 1011894/1011895 (100.0%) | Explore: 434105/434105 (100.0%)
T=15055890.60 | W=100.4um | Current HPWL=2105066.02 um | Best HPWL=426836.18 um | Accept Rate=100.0% | Improvements: 1414/6000 (23.6%) | Refine: 1095855/1095856 (100.0%) | Explore: 470144/470144 (100.0%)
T=13896109.22 | W=100.4um | Current HPWL=2088935.02 um | Best HPWL=426836.18 um | Accept Rate=100.0% | Improvements: 1461/6000 (24.3%) | Refine: 1180028/1180030 (100.0%) | Explore: 505970/505970 (100.0%)
T=12825667.81 | W=100.4um | Current HPWL=2124801.55 um | Best HPWL=426836.18 um | Accept Rate=100.0% | Improvements: 1404/6000 (23.4%) | Refine: 1264016/1264020 (100.0%) | Explore: 541980/541980 (100.0%)
T=11837684.36 | W=100.4um | Current HPWL=2089772.11 um | Best HPWL=426836.18 um | Accept Rate=100.0% | Improvements: 1419/6000 (23.6%) | Refine: 1347844/1347848 (100.0%) | Explore: 578152/578152 (100.0%)
T=10925806.99 | W=100.4um | Current HPWL=2102853.46 um | Best HPWL=426836.18 um | Accept Rate=100.0% | Improvements: 1366/6000 (22.8%) | Refine: 1431682/1431686 (100.0%) | Explore: 614314/614314 (100.0%)
T=10084173.12 | W=100.4um | Current HPWL=2107241.06 um | Best HPWL=426836.18 um | Accept Rate=100.0% | Improvements: 1437/6000 (23.9%) | Refine: 1515764/1515768 (100.0%) | Explore: 650232/650232 (100.0%)
T=9307371.76 | W=100.4um | Current HPWL=2109074.98 um | Best HPWL=426836.18 um | Accept Rate=100.0% | Improvements: 1403/6000 (23.4%) | Refine: 1599750/1599755 (100.0%) | Explore: 686245/686245 (100.0%)
T=8590408.76 | W=100.4um | Current HPWL=2107391.22 um | Best HPWL=426836.18 um | Accept Rate=100.0% | Improvements: 1363/6000 (22.7%) | Refine: 1683880/1683885 (100.0%) | Explore: 722115/722115 (100.0%)
T=7928674.67 | W=100.4um | Current HPWL=2102162.84 um | Best HPWL=426836.18 um | Accept Rate=100.0% | Improvements: 1359/6000 (22.7%) | Refine: 1768180/1768187 (100.0%) | Explore: 757813/757813 (100.0%)
