
============================================================
Simulated Annealing Optimization
============================================================
Initial HPWL: 426853.12 um
Initial Temperature: 42685312.00
Cooling Rate (alpha): 0.999
Moves per Temperature: 7500
Final Temperature: 0.0001
Initial Window Size: 501.80 um
Window Cooling Rate (beta): 0.98
Move Probabilities: Refine=70.0%, Explore=30.0%
============================================================

T=42685312.00 | W=501.8um | Current HPWL=1221422.40 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1015/7500 (13.5%) | Refine: 5254/5254 (100.0%) | Explore: 2246/2246 (100.0%)
T=41839667.51 | W=335.0um | Current HPWL=1995063.61 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1703/7500 (22.7%) | Refine: 109954/109954 (100.0%) | Explore: 47546/47546 (100.0%)
T=41010776.21 | W=223.7um | Current HPWL=2003275.16 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1794/7500 (23.9%) | Refine: 214793/214793 (100.0%) | Explore: 92707/92707 (100.0%)
T=40198306.17 | W=149.3um | Current HPWL=2033651.46 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1720/7500 (22.9%) | Refine: 319960/319960 (100.0%) | Explore: 137540/137540 (100.0%)
T=39401932.10 | W=100.4um | Current HPWL=2097209.10 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1789/7500 (23.9%) | Refine: 424955/424955 (100.0%) | Explore: 182545/182545 (100.0%)
T=38621335.09 | W=100.4um | Current HPWL=2109333.14 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1759/7500 (23.5%) | Refine: 530048/530048 (100.0%) | Explore: 227451/227452 (100.0%)
T=37856202.60 | W=100.4um | Current HPWL=2089201.57 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1853/7500 (24.7%) | Refine: 635005/635005 (100.0%) | Explore: 272494/272495 (100.0%)
T=37106228.26 | W=100.4um | Current HPWL=2113840.29 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1701/7500 (22.7%) | Refine: 740093/740093 (100.0%) | Explore: 317406/317407 (100.0%)
T=36371111.75 | W=100.4um | Current HPWL=2112410.27 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1740/7500 (23.2%) | Refine: 845111/845111 (100.0%) | Explore: 362388/362389 (100.0%)
T=35650558.74 | W=100.4um | Current HPWL=2133115.20 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1746/7500 (23.3%) | Refine: 949814/949815 (100.0%) | Explore: 407684/407685 (100.0%)
T=34944280.70 | W=100.4um | Current HPWL=2120887.23 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1760/7500 (23.5%) | Refine: 1055332/1055334 (100.0%) | Explore: 452164/452166 (100.0%)
T=34251994.84 | W=100.4um | Current HPWL=2147497.95 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1730/7500 (23.1%) | Refine: 1160670/1160672 (100.0%) | Explore: 496826/496828 (100.0%)
T=33573423.94 | W=100.4um | Current HPWL=2143568.22 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1755/7500 (23.4%) | Refine: 1265564/1265566 (100.0%) | Explore: 541932/541934 (100.0%)
T=32908296.30 | W=100.4um | Current HPWL=2109736.31 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1722/7500 (23.0%) | Refine: 1370674/1370676 (100.0%) | Explore: 586822/586824 (100.0%)
T=32256345.59 | W=100.4um | Current HPWL=2120218.08 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1757/7500 (23.4%) | Refine: 1475607/1475610 (100.0%) | Explore: 631888/631890 (100.0%)
T=31617310.77 | W=100.4um | Current HPWL=2110170.32 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1766/7500 (23.5%) | Refine: 1580444/1580447 (100.0%) | Explore: 677051/677053 (100.0%)
T=30990935.95 | W=100.4um | Current HPWL=2080702.60 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1743/7500 (23.2%) | Refine: 1685251/1685255 (100.0%) | Explore: 722243/722245 (100.0%)
T=30376970.33 | W=100.4um | Current HPWL=2107089.92 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1689/7500 (22.5%) | Refine: 1790374/1790378 (100.0%) | Explore: 767120/767122 (100.0%)
T=29775168.06 | W=100.4um | Current HPWL=2139811.43 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1773/7500 (23.6%) | Refine: 1895726/1895730 (100.0%) | Explore: 811768/811770 (100.0%)
T=29185288.19 | W=100.4um | Current HPWL=2128425.92 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1744/7500 (23.3%) | Refine: 2000648/2000652 (100.0%) | Explore: 856845/856848 (100.0%)
T=28607094.50 | W=100.4um | Current HPWL=2117664.59 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1773/7500 (23.6%) | Refine: 2105775/2105779 (100.0%) | Explore: 901718/901721 (100.0%)
T=28040355.48 | W=100.4um | Current HPWL=2112886.67 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1828/7500 (24.4%) | Refine: 2210546/2210550 (100.0%) | Explore: 946947/946950 (100.0%)
T=27484844.21 | W=100.4um | Current HPWL=2105051.99 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1729/7500 (23.1%) | Refine: 2315438/2315442 (100.0%) | Explore: 992055/992058 (100.0%)
T=26940338.24 | W=100.4um | Current HPWL=2114972.99 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1736/7500 (23.1%) | Refine: 2420296/2420300 (100.0%) | Explore: 1037197/1037200 (100.0%)
T=26406619.56 | W=100.4um | Current HPWL=2105452.13 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1708/7500 (22.8%) | Refine: 2524922/2524927 (100.0%) | Explore: 1082570/1082573 (100.0%)
T=25883474.45 | W=100.4um | Current HPWL=2123483.66 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1745/7500 (23.3%) | Refine: 2629839/2629844 (100.0%) | Explore: 1127653/1127656 (100.0%)
T=25370693.44 | W=100.4um | Current HPWL=2108628.70 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1791/7500 (23.9%) | Refine: 2734835/2734840 (100.0%) | Explore: 1172657/1172660 (100.0%)
