# Log file for: designs/6502_mapped.json
# Configuration: {'alpha': 0.99, 'moves': 500, 't_final': 0.1, '_use_greedy_placement': True, '_greedy_placement': 'build/6502/greedy/6502_placement.json'}
# Start time: 2025-11-23T09:35:59.475359
# Command: /home/mohab/Downloads/work/venv/bin/python placer.py --design designs/6502_mapped.json --fabric-cells fabric/fabric_cells.yaml --pins fabric/pins.yaml --output build/6502/sa_alpha0.99_moves500_Tfinal0.1 --sa-alpha 0.99 --sa-moves 500 --sa-T-final 0.1 --initial-placement build/6502/greedy/6502_placement.json --seed 1033422130
================================================================================

Random seed set to: 1033422130
Loading initial placement from: build/6502/greedy/6502_placement.json

============================================================
Simulated Annealing Optimization
============================================================
Initial HPWL: 431210.20 um
Initial Temperature: 4312102000.00
Cooling Rate (alpha): 0.99
Moves per Temperature: 500
Final Temperature: 0.1
Initial Window Size: 501.80 um
Window Cooling Rate (beta): 0.98
Move Probabilities: Refine=70.0%, Explore=30.0%
============================================================

T=4312102000.00 | W=501.8um | Current HPWL=563855.37 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 24/500 (4.8%) | Refine: 360/360 (100.0%) | Explore: 140/140 (100.0%)
T=3899787754.41 | W=410.0um | Current HPWL=1105009.04 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 81/500 (16.2%) | Refine: 3858/3858 (100.0%) | Explore: 1642/1642 (100.0%)
T=3526898141.43 | W=335.0um | Current HPWL=1271387.50 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 102/500 (20.4%) | Refine: 7395/7395 (100.0%) | Explore: 3105/3105 (100.0%)
T=3189663459.49 | W=273.7um | Current HPWL=1332826.73 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 104/500 (20.8%) | Refine: 10883/10883 (100.0%) | Explore: 4617/4617 (100.0%)
T=2884674458.07 | W=223.7um | Current HPWL=1364254.43 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 111/500 (22.2%) | Refine: 14408/14408 (100.0%) | Explore: 6092/6092 (100.0%)
T=2608847872.12 | W=182.7um | Current HPWL=1379626.29 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 95/500 (19.0%) | Refine: 17892/17892 (100.0%) | Explore: 7608/7608 (100.0%)
T=2359395251.97 | W=149.3um | Current HPWL=1405093.65 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 112/500 (22.4%) | Refine: 21392/21392 (100.0%) | Explore: 9108/9108 (100.0%)
T=2133794773.74 | W=122.0um | Current HPWL=1429417.85 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 118/500 (23.6%) | Refine: 24869/24869 (100.0%) | Explore: 10631/10631 (100.0%)
T=1929765745.12 | W=100.4um | Current HPWL=1439716.24 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 122/500 (24.4%) | Refine: 28366/28366 (100.0%) | Explore: 12134/12134 (100.0%)
T=1745245548.85 | W=100.4um | Current HPWL=1437476.53 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 119/500 (23.8%) | Refine: 31865/31865 (100.0%) | Explore: 13635/13635 (100.0%)
T=1578368790.87 | W=100.4um | Current HPWL=1435700.84 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 115/500 (23.0%) | Refine: 35356/35356 (100.0%) | Explore: 15144/15144 (100.0%)
T=1427448442.22 | W=100.4um | Current HPWL=1448383.23 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 115/500 (23.0%) | Refine: 38865/38865 (100.0%) | Explore: 16635/16635 (100.0%)
T=1290958784.14 | W=100.4um | Current HPWL=1459187.16 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 113/500 (22.6%) | Refine: 42395/42395 (100.0%) | Explore: 18105/18105 (100.0%)
T=1167519983.95 | W=100.4um | Current HPWL=1443080.05 um | Best HPWL=431210.20 um | Accept Rate=100.0% | Improvements: 111/500 (22.2%) | Refine: 45847/45847 (100.0%) | Explore: 19653/19653 (100.0%)
