
============================================================
Simulated Annealing Optimization
============================================================
Initial HPWL: 1256322.32 um
Initial Temperature: 12563223200.00
Cooling Rate (alpha): 0.9905555555555555
Moves per Temperature: 2167
Final Temperature: 0.001
Initial Window Size: 501.80 um
Window Cooling Rate (beta): 0.98
Move Probabilities: Refine=70.0%, Explore=30.0%
============================================================

T=12563223200.00 | W=501.8um | Current HPWL=2066800.44 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 75/2167 (3.5%) | Refine: 1508/1508 (100.0%) | Explore: 659/659 (100.0%)
T=11425874678.13 | W=410.0um | Current HPWL=4291938.82 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 516/2167 (23.8%) | Refine: 16727/16727 (100.0%) | Explore: 7110/7110 (100.0%)
T=10391490311.20 | W=335.0um | Current HPWL=4770654.12 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 542/2167 (25.0%) | Refine: 31884/31884 (100.0%) | Explore: 13623/13623 (100.0%)
T=9450748754.89 | W=273.7um | Current HPWL=4947839.64 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 580/2167 (26.8%) | Refine: 47156/47156 (100.0%) | Explore: 20021/20021 (100.0%)
T=8595172526.09 | W=223.7um | Current HPWL=5091812.32 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 594/2167 (27.4%) | Refine: 62275/62275 (100.0%) | Explore: 26572/26572 (100.0%)
T=7817051608.22 | W=182.7um | Current HPWL=5142734.95 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 600/2167 (27.7%) | Refine: 77427/77427 (100.0%) | Explore: 33090/33090 (100.0%)
T=7109373972.43 | W=149.3um | Current HPWL=5224749.16 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 581/2167 (26.8%) | Refine: 92599/92599 (100.0%) | Explore: 39588/39588 (100.0%)
T=6465762388.82 | W=122.0um | Current HPWL=5230664.14 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 638/2167 (29.4%) | Refine: 107790/107790 (100.0%) | Explore: 46067/46067 (100.0%)
T=5880416958.07 | W=100.4um | Current HPWL=5280511.60 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 615/2167 (28.4%) | Refine: 122849/122849 (100.0%) | Explore: 52678/52678 (100.0%)
T=5348062845.69 | W=100.4um | Current HPWL=5292725.06 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 583/2167 (26.9%) | Refine: 138011/138011 (100.0%) | Explore: 59186/59186 (100.0%)
T=4863902747.95 | W=100.4um | Current HPWL=5307818.51 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 592/2167 (27.3%) | Refine: 153173/153173 (100.0%) | Explore: 65694/65694 (100.0%)
T=4423573660.99 | W=100.4um | Current HPWL=5349080.72 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 612/2167 (28.2%) | Refine: 168226/168226 (100.0%) | Explore: 72311/72311 (100.0%)
T=4023107563.66 | W=100.4um | Current HPWL=5365217.11 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 620/2167 (28.6%) | Refine: 183368/183368 (100.0%) | Explore: 78839/78839 (100.0%)
T=3658895659.76 | W=100.4um | Current HPWL=5362256.56 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 624/2167 (28.8%) | Refine: 198527/198527 (100.0%) | Explore: 85350/85350 (100.0%)
T=3327655857.36 | W=100.4um | Current HPWL=5422134.60 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 579/2167 (26.7%) | Refine: 213667/213667 (100.0%) | Explore: 91880/91880 (100.0%)
T=3026403192.30 | W=100.4um | Current HPWL=5392791.08 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 577/2167 (26.6%) | Refine: 228859/228859 (100.0%) | Explore: 98358/98358 (100.0%)
T=2752422929.23 | W=100.4um | Current HPWL=5429997.67 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 619/2167 (28.6%) | Refine: 243933/243933 (100.0%) | Explore: 104954/104954 (100.0%)
T=2503246097.75 | W=100.4um | Current HPWL=5471628.22 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 595/2167 (27.5%) | Refine: 259121/259121 (100.0%) | Explore: 111436/111436 (100.0%)
T=2276627243.35 | W=100.4um | Current HPWL=5461266.77 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 618/2167 (28.5%) | Refine: 274336/274336 (100.0%) | Explore: 117891/117891 (100.0%)
T=2070524192.50 | W=100.4um | Current HPWL=5507788.52 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 617/2167 (28.5%) | Refine: 289498/289498 (100.0%) | Explore: 124399/124399 (100.0%)
T=1883079649.62 | W=100.4um | Current HPWL=5529035.44 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 599/2167 (27.6%) | Refine: 304711/304711 (100.0%) | Explore: 130856/130856 (100.0%)
T=1712604460.09 | W=100.4um | Current HPWL=5524802.65 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 601/2167 (27.7%) | Refine: 319842/319842 (100.0%) | Explore: 137395/137395 (100.0%)
T=1557562388.46 | W=100.4um | Current HPWL=5542839.50 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 579/2167 (26.7%) | Refine: 334965/334965 (100.0%) | Explore: 143942/143942 (100.0%)
T=1416556274.66 | W=100.4um | Current HPWL=5542897.76 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 620/2167 (28.6%) | Refine: 350059/350059 (100.0%) | Explore: 150518/150518 (100.0%)
T=1288315443.51 | W=100.4um | Current HPWL=5539923.43 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 603/2167 (27.8%) | Refine: 365111/365111 (100.0%) | Explore: 157136/157136 (100.0%)
T=1171684254.04 | W=100.4um | Current HPWL=5601555.60 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 599/2167 (27.6%) | Refine: 380277/380277 (100.0%) | Explore: 163640/163640 (100.0%)
T=1065611685.46 | W=100.4um | Current HPWL=5629194.60 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 598/2167 (27.6%) | Refine: 395541/395541 (100.0%) | Explore: 170046/170046 (100.0%)
T=969141865.89 | W=100.4um | Current HPWL=5547000.65 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 652/2167 (30.1%) | Refine: 410721/410721 (100.0%) | Explore: 176536/176536 (100.0%)
T=881405458.51 | W=100.4um | Current HPWL=5603904.11 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 620/2167 (28.6%) | Refine: 425950/425950 (100.0%) | Explore: 182977/182977 (100.0%)
T=801611827.57 | W=100.4um | Current HPWL=5621910.90 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 602/2167 (27.8%) | Refine: 441098/441098 (100.0%) | Explore: 189499/189499 (100.0%)
T=729041913.57 | W=100.4um | Current HPWL=5635582.34 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 586/2167 (27.0%) | Refine: 456332/456332 (100.0%) | Explore: 195935/195935 (100.0%)
T=663041753.46 | W=100.4um | Current HPWL=5667777.47 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 565/2167 (26.1%) | Refine: 471458/471458 (100.0%) | Explore: 202479/202479 (100.0%)
T=603016587.44 | W=100.4um | Current HPWL=5674879.21 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 596/2167 (27.5%) | Refine: 486548/486548 (100.0%) | Explore: 209059/209059 (100.0%)
T=548425499.35 | W=100.4um | Current HPWL=5683545.69 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 591/2167 (27.3%) | Refine: 501710/501710 (100.0%) | Explore: 215567/215567 (100.0%)
T=498776542.15 | W=100.4um | Current HPWL=5656692.24 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 598/2167 (27.6%) | Refine: 516833/516833 (100.0%) | Explore: 222114/222114 (100.0%)
T=453622304.74 | W=100.4um | Current HPWL=5699228.18 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 608/2167 (28.1%) | Refine: 532024/532024 (100.0%) | Explore: 228593/228593 (100.0%)
T=412555880.18 | W=100.4um | Current HPWL=5711917.14 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 601/2167 (27.7%) | Refine: 547328/547328 (100.0%) | Explore: 234959/234959 (100.0%)
T=375207198.79 | W=100.4um | Current HPWL=5724174.52 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 632/2167 (29.2%) | Refine: 562395/562395 (100.0%) | Explore: 241562/241562 (100.0%)
T=341239693.31 | W=100.4um | Current HPWL=5751816.97 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 604/2167 (27.9%) | Refine: 577579/577579 (100.0%) | Explore: 248048/248048 (100.0%)
T=310347265.89 | W=100.4um | Current HPWL=5781330.71 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 608/2167 (28.1%) | Refine: 592610/592610 (100.0%) | Explore: 254687/254687 (100.0%)
T=282251529.75 | W=100.4um | Current HPWL=5785812.82 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 627/2167 (28.9%) | Refine: 607796/607796 (100.0%) | Explore: 261171/261171 (100.0%)
T=256699300.43 | W=100.4um | Current HPWL=5816796.78 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 618/2167 (28.5%) | Refine: 622960/622960 (100.0%) | Explore: 267677/267677 (100.0%)
T=233460314.29 | W=100.4um | Current HPWL=5809497.10 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 639/2167 (29.5%) | Refine: 638111/638111 (100.0%) | Explore: 274196/274196 (100.0%)
T=212325153.42 | W=100.4um | Current HPWL=5825382.28 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 578/2167 (26.7%) | Refine: 653217/653217 (100.0%) | Explore: 280760/280760 (100.0%)
T=193103358.54 | W=100.4um | Current HPWL=5820537.33 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 611/2167 (28.2%) | Refine: 668446/668446 (100.0%) | Explore: 287201/287201 (100.0%)
T=175621712.63 | W=100.4um | Current HPWL=5825644.95 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 565/2167 (26.1%) | Refine: 683667/683667 (100.0%) | Explore: 293650/293650 (100.0%)
T=159722680.03 | W=100.4um | Current HPWL=5849416.89 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 588/2167 (27.1%) | Refine: 698739/698739 (100.0%) | Explore: 300248/300248 (100.0%)
T=145262986.75 | W=100.4um | Current HPWL=5908384.74 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 599/2167 (27.6%) | Refine: 713974/713974 (100.0%) | Explore: 306683/306683 (100.0%)
T=132112329.42 | W=100.4um | Current HPWL=5899095.19 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 603/2167 (27.8%) | Refine: 729197/729197 (100.0%) | Explore: 313130/313130 (100.0%)
