
============================================================
Simulated Annealing Optimization
============================================================
Initial HPWL: 426853.12 um
Initial Temperature: 42685312.00
Cooling Rate (alpha): 0.999
Moves per Temperature: 8000
Final Temperature: 0.0001
Initial Window Size: 501.80 um
Window Cooling Rate (beta): 0.98
Move Probabilities: Refine=70.0%, Explore=30.0%
============================================================

T=42685312.00 | W=501.8um | Current HPWL=1250831.61 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1144/8000 (14.3%) | Refine: 5606/5607 (100.0%) | Explore: 2393/2393 (100.0%)
T=41839667.51 | W=335.0um | Current HPWL=2008888.01 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1815/8000 (22.7%) | Refine: 117755/117756 (100.0%) | Explore: 50244/50244 (100.0%)
T=41010776.21 | W=223.7um | Current HPWL=2062339.59 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1860/8000 (23.2%) | Refine: 230133/230134 (100.0%) | Explore: 97866/97866 (100.0%)
T=40198306.17 | W=149.3um | Current HPWL=2054686.04 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1880/8000 (23.5%) | Refine: 341951/341953 (100.0%) | Explore: 146047/146047 (100.0%)
T=39401932.10 | W=100.4um | Current HPWL=2081477.35 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1840/8000 (23.0%) | Refine: 454144/454146 (100.0%) | Explore: 193854/193854 (100.0%)
T=38621335.09 | W=100.4um | Current HPWL=2075428.13 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1891/8000 (23.6%) | Refine: 565757/565759 (100.0%) | Explore: 242241/242241 (100.0%)
T=37856202.60 | W=100.4um | Current HPWL=2083755.60 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1913/8000 (23.9%) | Refine: 677398/677400 (100.0%) | Explore: 290600/290600 (100.0%)
T=37106228.26 | W=100.4um | Current HPWL=2082345.48 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1861/8000 (23.3%) | Refine: 789247/789249 (100.0%) | Explore: 338751/338751 (100.0%)
T=36371111.75 | W=100.4um | Current HPWL=2121202.39 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1865/8000 (23.3%) | Refine: 901301/901303 (100.0%) | Explore: 386697/386697 (100.0%)
T=35650558.74 | W=100.4um | Current HPWL=2098131.89 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1829/8000 (22.9%) | Refine: 1013478/1013480 (100.0%) | Explore: 434520/434520 (100.0%)
T=34944280.70 | W=100.4um | Current HPWL=2090444.12 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1871/8000 (23.4%) | Refine: 1125521/1125523 (100.0%) | Explore: 482477/482477 (100.0%)
T=34251994.84 | W=100.4um | Current HPWL=2098114.40 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1826/8000 (22.8%) | Refine: 1237985/1237987 (100.0%) | Explore: 530013/530013 (100.0%)
T=33573423.94 | W=100.4um | Current HPWL=2074150.70 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1924/8000 (24.1%) | Refine: 1349897/1349899 (100.0%) | Explore: 578101/578101 (100.0%)
T=32908296.30 | W=100.4um | Current HPWL=2089449.59 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1875/8000 (23.4%) | Refine: 1462049/1462051 (100.0%) | Explore: 625949/625949 (100.0%)
T=32256345.59 | W=100.4um | Current HPWL=2118085.26 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1895/8000 (23.7%) | Refine: 1574240/1574244 (100.0%) | Explore: 673756/673756 (100.0%)
T=31617310.77 | W=100.4um | Current HPWL=2115671.21 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1832/8000 (22.9%) | Refine: 1686536/1686540 (100.0%) | Explore: 721459/721460 (100.0%)
T=30990935.95 | W=100.4um | Current HPWL=2133587.09 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1802/8000 (22.5%) | Refine: 1798773/1798777 (100.0%) | Explore: 769222/769223 (100.0%)
T=30376970.33 | W=100.4um | Current HPWL=2122535.74 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1932/8000 (24.1%) | Refine: 1910803/1910807 (100.0%) | Explore: 817192/817193 (100.0%)
T=29775168.06 | W=100.4um | Current HPWL=2153457.82 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1855/8000 (23.2%) | Refine: 2022591/2022597 (100.0%) | Explore: 865402/865403 (100.0%)
T=29185288.19 | W=100.4um | Current HPWL=2124480.70 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1930/8000 (24.1%) | Refine: 2134878/2134885 (100.0%) | Explore: 913114/913115 (100.0%)
T=28607094.50 | W=100.4um | Current HPWL=2112189.93 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1896/8000 (23.7%) | Refine: 2247052/2247059 (100.0%) | Explore: 960940/960941 (100.0%)
T=28040355.48 | W=100.4um | Current HPWL=2079467.63 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1904/8000 (23.8%) | Refine: 2359156/2359163 (100.0%) | Explore: 1008836/1008837 (100.0%)
T=27484844.21 | W=100.4um | Current HPWL=2102027.13 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1852/8000 (23.2%) | Refine: 2471175/2471182 (100.0%) | Explore: 1056817/1056818 (100.0%)
T=26940338.24 | W=100.4um | Current HPWL=2091756.04 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1920/8000 (24.0%) | Refine: 2583203/2583210 (100.0%) | Explore: 1104789/1104790 (100.0%)
T=26406619.56 | W=100.4um | Current HPWL=2086967.11 um | Best HPWL=426853.12 um | Accept Rate=100.0% | Improvements: 1941/8000 (24.3%) | Refine: 2695184/2695192 (100.0%) | Explore: 1152807/1152808 (100.0%)
