
============================================================
Simulated Annealing Optimization
============================================================
Initial HPWL: 1256322.32 um
Initial Temperature: 12563223200.00
Cooling Rate (alpha): 0.995
Moves per Temperature: 2500
Final Temperature: 0.001
Initial Window Size: 501.80 um
Window Cooling Rate (beta): 0.98
Move Probabilities: Refine=70.0%, Explore=30.0%
============================================================

T=12563223200.00 | W=501.8um | Current HPWL=2157203.27 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 98/2500 (3.9%) | Refine: 1716/1716 (100.0%) | Explore: 784/784 (100.0%)
T=11949008856.82 | W=410.0um | Current HPWL=4458954.13 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 613/2500 (24.5%) | Refine: 19213/19213 (100.0%) | Explore: 8287/8287 (100.0%)
T=11364823372.75 | W=335.0um | Current HPWL=4854051.01 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 669/2500 (26.8%) | Refine: 36694/36694 (100.0%) | Explore: 15806/15806 (100.0%)
T=10809198640.78 | W=273.7um | Current HPWL=5095378.72 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 708/2500 (28.3%) | Refine: 54194/54194 (100.0%) | Explore: 23306/23306 (100.0%)
T=10280738329.46 | W=223.7um | Current HPWL=5192826.56 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 662/2500 (26.5%) | Refine: 71655/71655 (100.0%) | Explore: 30845/30845 (100.0%)
T=9778114373.82 | W=182.7um | Current HPWL=5261423.93 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 689/2500 (27.6%) | Refine: 89189/89189 (100.0%) | Explore: 38311/38311 (100.0%)
T=9300063637.79 | W=149.3um | Current HPWL=5302839.93 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 679/2500 (27.2%) | Refine: 106723/106723 (100.0%) | Explore: 45777/45777 (100.0%)
T=8845384739.88 | W=122.0um | Current HPWL=5364725.44 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 635/2500 (25.4%) | Refine: 124252/124252 (100.0%) | Explore: 53248/53248 (100.0%)
T=8412935033.97 | W=100.4um | Current HPWL=5350929.25 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 709/2500 (28.4%) | Refine: 141726/141726 (100.0%) | Explore: 60774/60774 (100.0%)
T=8001627737.75 | W=100.4um | Current HPWL=5407668.78 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 737/2500 (29.5%) | Refine: 159218/159218 (100.0%) | Explore: 68282/68282 (100.0%)
T=7610429201.59 | W=100.4um | Current HPWL=5392795.43 um | Best HPWL=1256322.32 um | Accept Rate=100.0% | Improvements: 703/2500 (28.1%) | Refine: 176764/176764 (100.0%) | Explore: 75736/75736 (100.0%)
